country_1,country_2,run,count
FRA,PRT,10,2
FRA,SVK,10,3
FRA,SVN,10,2
FRA,SWE,10,1
GBR,AUT,10,1
GBR,BEL,10,3
GBR,CHE,10,1
GBR,CZE,10,2
GBR,DEU,10,4
GBR,DNK,10,5
GBR,ESP,10,2
GBR,EST,10,1
GBR,FIN,10,0
GBR,FRA,10,4
GBR,GBR,10,9
GBR,HRV,10,1
GBR,HUN,10,1
GBR,IRL,10,6
GBR,ITA,10,1
GBR,LTU,10,3
GBR,LVA,10,1
GBR,NLD,10,4
GBR,NOR,10,2
GBR,POL,10,2
GBR,PRT,10,1
GBR,SVK,10,2
GBR,SVN,10,1
GBR,SWE,10,2
HRV,AUT,10,0
HRV,BEL,10,1
HRV,CHE,10,2
HRV,CZE,10,4
HRV,DEU,10,1
HRV,DNK,10,1
HRV,ESP,10,2
HRV,EST,10,0
HRV,FIN,10,1
HRV,FRA,10,2
HRV,GBR,10,1
HRV,HRV,10,5
HRV,HUN,10,3
HRV,IRL,10,2
HRV,ITA,10,3
HRV,LTU,10,2
HRV,LVA,10,0
HRV,NLD,10,1
HRV,NOR,10,2
HRV,POL,10,2
HRV,PRT,10,1
HRV,SVK,10,5
HRV,SVN,10,6
HRV,SWE,10,3
HUN,AUT,10,2
HUN,BEL,10,1
HUN,CHE,10,2
HUN,CZE,10,4
HUN,DEU,10,1
HUN,DNK,10,1
HUN,ESP,10,2
HUN,EST,10,1
HUN,FIN,10,1
HUN,FRA,10,2
HUN,GBR,10,1
HUN,HRV,10,3
HUN,HUN,10,5
HUN,IRL,10,1
HUN,ITA,10,3
HUN,LTU,10,2
HUN,LVA,10,0
HUN,NLD,10,1
HUN,NOR,10,2
HUN,POL,10,2
HUN,PRT,10,1
HUN,SVK,10,4
HUN,SVN,10,5
HUN,SWE,10,3
IRL,AUT,10,1
IRL,BEL,10,1
IRL,CHE,10,2
IRL,CZE,10,2
IRL,DEU,10,1
IRL,DNK,10,3
IRL,ESP,10,2
IRL,EST,10,0
IRL,FIN,10,1
IRL,FRA,10,4
IRL,GBR,10,6
IRL,HRV,10,2
IRL,HUN,10,1
IRL,IRL,10,13
IRL,ITA,10,1
IRL,LTU,10,1
IRL,LVA,10,0
IRL,NLD,10,1
IRL,NOR,10,1
IRL,POL,10,1
IRL,PRT,10,1
IRL,SVK,10,2
IRL,SVN,10,3
IRL,SWE,10,2
ITA,AUT,10,0
ITA,BEL,10,1
ITA,CHE,10,2
ITA,CZE,10,3
ITA,DEU,10,1
ITA,DNK,10,1
ITA,ESP,10,2
ITA,EST,10,0
ITA,FIN,10,0
ITA,FRA,10,2
ITA,GBR,10,1
ITA,HRV,10,3
ITA,HUN,10,3
